,Rank,Game,Month,Year,Hours_watched,Hours_Streamed,Peak_viewers,Peak_channels,Streamers,Avg_viewers,Avg_channels,Avg_viewer_ratio,appid,name,release_date,english,developer,publisher,platforms,required_age,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
1,106,donkey kong country 2 diddys kong quest,1,2016,316101,993 hours,181740,28,218,425,1,318.33,,,,,,,,,,,,,,,
2,107,kirby 64 the crystal shards,1,2016,315368,209 hours,158893,16,58,424,0,1508.94,,,,,,,,,,,,,,,
3,113,halo 4,1,2016,302218,569 hours,135671,13,71,406,0,531.14,,,,,,,,,,,,,,,
4,114,kirby squeak squad,1,2016,299628,60 hours,156564,16,28,403,0,4993.8,,,,,,,,,,,,,,,
5,123,rayman legends,1,2016,282655,1101 hours,166452,26,666,380,1,256.73,,,,,,,,,,,,,,,
6,125,resident evil revelations 2,1,2016,279827,4202 hours,11689,17,2793,376,5,66.59,,,,,,,,,,,,,,,
7,126,the legend of zelda ocarina of time master quest,1,2016,278518,205 hours,159514,10,43,374,0,1358.62,,,,,,,,,,,,,,,
8,130,transformers devastation,1,2016,268643,896 hours,126800,12,322,361,1,299.82,,,,,,,,,,,,,,,
9,142,age of empires,1,2016,248884,232 hours,107455,18,40,334,0,1072.78,,,,,,,,,,,,,,,
10,145,stepmania,1,2016,244450,2170 hours,210108,30,638,329,2,112.65,,,,,,,,,,,,,,,
11,147,darksiders 2,1,2016,242099,752 hours,120528,11,502,325,1,321.94,,,,,,,,,,,,,,,
12,150,fire emblem path of radiance,1,2016,235555,516 hours,122456,10,65,317,0,456.5,,,,,,,,,,,,,,,
14,152,the legend of zelda oracle of ages,1,2016,234228,182 hours,94932,8,37,315,0,1286.97,,,,,,,,,,,,,,,
18,162,tony hawks pro skater,1,2016,211450,159 hours,111383,10,37,284,0,1329.87,,,,,,,,,,,,,,,
19,165,mega man 2,1,2016,208756,1841 hours,150406,121,319,280,2,113.39,,,,,,,,,,,,,,,
21,168,super monkey ball banana blitz,1,2016,200365,27 hours,146882,14,26,269,0,7420.93,,,,,,,,,,,,,,,
22,169,tmnt,1,2016,198228,135 hours,132708,17,61,266,0,1468.36,,,,,,,,,,,,,,,
23,170,mike tysons punchout,1,2016,197881,307 hours,168929,30,105,266,0,644.56,,,,,,,,,,,,,,,
25,172,mega man 10,1,2016,197038,141 hours,158783,29,55,265,0,1397.43,,,,,,,,,,,,,,,
27,178,sonic advance,1,2016,185057,85 hours,110213,19,44,249,0,2177.14,,,,,,,,,,,,,,,
28,180,ninja gaiden iii the ancient ship of doom,1,2016,183550,122 hours,133273,16,36,247,0,1504.51,,,,,,,,,,,,,,,
29,184,iji,1,2016,179556,30 hours,91449,16,22,241,0,5985.2,,,,,,,,,,,,,,,
30,185,blast corps,1,2016,178810,42 hours,96318,18,25,240,0,4257.38,,,,,,,,,,,,,,,
32,193,mario kart 64,1,2016,173981,605 hours,186466,21,220,234,0,287.57,,,,,,,,,,,,,,,
33,196,brain age train your brain in minutes a day,1,2016,173011,19 hours,207721,14,21,232,0,9105.84,,,,,,,,,,,,,,,
36,65,unravel,2,2016,540842,16720 hours,33485,202,5283,778,24,32.35,,,,,,,,,,,,,,,
40,130,digimon story cyber sleuth,2,2016,181711,9164 hours,7516,53,4416,261,13,19.83,,,,,,,,,,,,,,,
41,142,final fantasy12,2,2016,165497,1942 hours,1754,10,142,238,2,85.22,,,,,,,,,,,,,,,
46,161,the walking dead michonne,2,2016,138454,2551 hours,13955,118,1526,199,3,54.27,,,,,,,,,,,,,,,
47,165,mechwarrior online,2,2016,130316,8681 hours,29599,36,781,187,12,15.01,,,,,,,,,,,,,,,
55,89,bloodborne the old hunters,3,2016,331188,1531 hours,28286,12,624,445,2,216.32,,,,,,,,,,,,,,,
57,125,need for speed,3,2016,195144,12835 hours,28602,114,7280,262,17,15.2,,,,,,,,,,,,,,,
60,162,plants vs zombies garden warfare 2,3,2016,145582,9430 hours,2642,47,3679,195,12,15.44,,,,,,,,,,,,,,,
61,165,metal gearid 4 guns of the patriots,3,2016,138873,325 hours,2418,4,24,186,0,427.3,,,,,,,,,,,,,,,
62,176,mlb 15 the show,3,2016,116479,1497 hours,10762,14,1130,156,2,77.81,,,,,,,,,,,,,,,
66,197,metal gearid peace walker,3,2016,96201,312 hours,1490,5,25,129,0,308.34,,,,,,,,,,,,,,,
68,200,ultra street fighter 4,3,2016,93937,969 hours,23183,8,409,126,1,96.94,,,,,,,,,,,,,,,
70,53,ratchet clank,4,2016,780678,10301 hours,28323,117,8850,1085,14,75.79,,,,,,,,,,,,,,,
71,94,slither,4,2016,309057,9262 hours,31516,54,3276,429,12,33.37,,,,,,,,,,,,,,,
74,113,mario party 10,4,2016,221591,154 hours,19830,6,53,308,0,1438.9,,,,,,,,,,,,,,,
76,129,ark survival of the fittest,4,2016,180911,10980 hours,4345,34,1222,251,15,16.48,,,,,,,,,,,,,,,
77,130,breaking point,4,2016,176391,1251 hours,17018,11,159,245,1,141.0,,,,,,,,,,,,,,,
80,137,infestation survivor stories,4,2016,163095,13742 hours,1024,66,1099,226,19,11.87,,,,,,,,,,,,,,,
83,170,borderlands the handsome collection,4,2016,128713,9984 hours,6191,52,2145,179,13,12.89,,,,,,,,,,,,,,,
84,171,star fox zero,4,2016,128524,3184 hours,5125,99,826,178,4,40.37,,,,,,,,,,,,,,,
85,174,supernova,4,2016,124653,1503 hours,18709,9,175,173,2,82.94,,,,,,,,,,,,,,,
86,175,game wario,4,2016,123435,43 hours,23152,4,17,171,0,2870.58,,,,,,,,,,,,,,,
91,188,fire emblem fates,4,2016,111996,1238 hours,3292,10,95,155,1,90.47,,,,,,,,,,,,,,,
94,115,uncharted the nathan drake collection,5,2016,206285,6771 hours,4719,39,5539,277,9,30.47,,,,,,,,,,,,,,,
95,120,slitherio,5,2016,186314,13629 hours,6792,59,6161,250,18,13.67,,,,,,,,,,,,,,,
96,129,just survive,5,2016,164737,8777 hours,4400,33,1305,221,11,18.77,,,,,,,,,,,,,,,
98,157,secret hitler,5,2016,127220,176 hours,33336,5,56,171,0,722.84,,,,,,,,,,,,,,,
99,158,pro evolution soccer 2016,5,2016,126612,7592 hours,8362,34,1694,170,10,16.68,,,,,,,,,,,,,,,
100,171,agario,5,2016,119004,10515 hours,2594,52,2760,160,14,11.32,,,,,,,,,,,,,,,
102,176,uncharted 2 among thieves,5,2016,112048,931 hours,6533,7,158,150,1,120.35,,,,,,,,,,,,,,,
103,183,call of duty modern warfare 3,5,2016,104351,4045 hours,8633,22,1168,140,5,25.8,,,,,,,,,,,,,,,
104,187,nhl 16,5,2016,100833,23374 hours,691,130,5280,135,31,4.31,,,,,,,,,,,,,,,
105,188,battlefield hardline,5,2016,100782,25979 hours,47090,88,7617,135,34,3.88,,,,,,,,,,,,,,,
106,195,cards against humanity,5,2016,95184,2407 hours,11636,21,1125,128,3,39.54,,,,,,,,,,,,,,,
108,6,e3 2016,6,2016,13564832,16151 hours,891816,980,2537,18866,22,839.88,,,,,,,,,,,,,,,
109,65,mirrors edge catalyst,6,2016,424524,9230 hours,25620,105,4442,590,12,45.99,,,,,,,,,,,,,,,
112,111,forza motorsport 6,6,2016,210515,12235 hours,10182,41,3328,292,17,17.21,,,,,,,,,,,,,,,
114,134,star ocean integrity and faithlessness,6,2016,160755,6738 hours,11596,236,1403,223,9,23.86,,,,,,,,,,,,,,,
118,161,splatoon,6,2016,127025,12691 hours,1882,61,1265,176,17,10.01,,,,,,,,,,,,,,,
121,171,chronicle runescape legends,6,2016,114067,2857 hours,11522,13,466,158,3,39.93,,,,,,,,,,,,,,,
126,198,savage resurrection,6,2016,93754,331 hours,15781,4,83,130,0,283.24,,,,,,,,,,,,,,,
130,65,nba 2k15,7,2016,539665,14301 hours,6203,41,3439,726,19,37.74,,,,,,,,,,,,,,,
132,82,necropolis,7,2016,419583,5519 hours,55052,199,1335,564,7,76.03,,,,,,,,,,,,,,,
133,88,dnc 2016,7,2016,362702,355 hours,47549,24,59,488,0,1021.7,,,,,,,,,,,,,,,
137,124,the legend of zelda links awakening dx,7,2016,271063,671 hours,151642,13,110,364,0,403.97,,,,,,,,,,,,,,,
138,130,rnc 2016,7,2016,264303,28 hours,29021,1,2,355,0,9439.39,,,,,,,,,,,,,,,
139,132,pikmin,7,2016,261626,306 hours,104767,8,70,352,0,854.99,,,,,,,,,,,,,,,
140,138,sonic the hedgehog,7,2016,249214,960 hours,134611,18,375,335,1,259.6,,,,,,,,,,,,,,,
141,139,quackshot starring donald duck,7,2016,248237,52 hours,127046,7,16,334,0,4773.79,,,,,,,,,,,,,,,
142,145,kirby nightmare in dream land,7,2016,235038,170 hours,97477,6,36,316,0,1382.58,,,,,,,,,,,,,,,
143,146,mega man zero 2,7,2016,233488,41 hours,118307,9,15,314,0,5694.83,,,,,,,,,,,,,,,
144,151,mega man zx advent,7,2016,217249,87 hours,109596,7,20,292,0,2497.11,,,,,,,,,,,,,,,
145,154,castlevania symphony of the night,7,2016,213140,1010 hours,155016,15,203,286,1,211.03,,,,,,,,,,,,,,,
146,155,pokku00e9n tournament,7,2016,212443,2069 hours,30116,9,311,285,2,102.68,,,,,,,,,,,,,,,
147,160,illusion of gaia,7,2016,201674,197 hours,93073,8,41,271,0,1023.73,,,,,,,,,,,,,,,
148,161,pepsiman,7,2016,199938,75 hours,136904,5,25,269,0,2665.84,,,,,,,,,,,,,,,
150,173,zelda ii the adventure of link,7,2016,181560,747 hours,94715,12,100,244,1,243.05,,,,,,,,,,,,,,,
151,178,castlevania,7,2016,174502,650 hours,97143,9,143,234,0,268.46,,,,,,,,,,,,,,,
153,182,new super mario bros,7,2016,170686,73 hours,117935,7,30,229,0,2338.16,,,,,,,,,,,,,,,
154,183,jak and daxter the precursor legacy,7,2016,170642,681 hours,93955,8,83,229,0,250.58,,,,,,,,,,,,,,,
156,190,ghostbusters,7,2016,165845,670 hours,75182,11,228,223,0,247.53,,,,,,,,,,,,,,,
158,192,super mario 64 ds,7,2016,165608,150 hours,115289,10,24,222,0,1104.05,,,,,,,,,,,,,,,
161,200,sonic adventure 2 battle,7,2016,158951,1083 hours,127056,11,245,213,1,146.77,,,,,,,,,,,,,,,
164,105,london 2012 the official video game,8,2016,283902,325 hours,13323,7,90,382,0,873.54,,,,,,,,,,,,,,,
165,112,poku00e9mon yellow,8,2016,266522,2639 hours,8546,18,378,358,3,100.99,,,,,,,,,,,,,,,
170,152,madden nfl 16,8,2016,158610,50645 hours,3543,265,11549,213,68,3.13,,,,,,,,,,,,,,,
171,163,tree of savior,8,2016,145088,12695 hours,2453,49,1174,195,17,11.43,,,,,,,,,,,,,,,
172,170,mafia live,8,2016,137535,472 hours,13355,5,36,185,0,291.39,,,,,,,,,,,,,,,
173,173,final fantasy tactics the war of the lions,8,2016,135959,256 hours,5171,3,28,182,0,531.09,,,,,,,,,,,,,,,
174,174,nioh_,8,2016,132466,3703 hours,2832,47,824,178,4,35.77,,,,,,,,,,,,,,,
175,175,mlb the show 16,8,2016,129621,5771 hours,3611,25,3244,174,7,22.46,,,,,,,,,,,,,,,
176,179,google go,8,2016,126492,154 hours,29430,15,76,170,0,821.38,,,,,,,,,,,,,,,
177,188,shattered skies,8,2016,120264,7895 hours,1536,34,687,161,10,15.23,,,,,,,,,,,,,,,
179,44,fifa 16,9,2016,832270,67256 hours,23984,293,20247,1157,93,12.37,,,,,,,,,,,,,,,
180,51,bioshock the collection,9,2016,629706,16487 hours,14143,133,4659,875,22,38.19,,,,,,,,,,,,,,,
184,115,smash grab,9,2016,198627,1722 hours,31640,32,508,276,2,115.35,,,,,,,,,,,,,,,
187,131,pro evolution soccer 2017,9,2016,161557,10351 hours,13572,78,1888,224,14,15.61,,,,,,,,,,,,,,,
188,138,ea sports ufc 2,9,2016,154797,12698 hours,16717,45,3241,215,17,12.19,,,,,,,,,,,,,,,
194,169,gears of war,9,2016,116416,15868 hours,1193,58,3278,161,22,7.34,,,,,,,,,,,,,,,
196,187,monster hunter generations,9,2016,105569,4729 hours,846,24,291,146,6,22.32,,,,,,,,,,,,,,,
197,191,evolve,9,2016,99010,10052 hours,1684,35,2088,137,13,9.85,,,,,,,,,,,,,,,
200,196,phoenix wright ace attorney u2212 spirit of justice,9,2016,96620,842 hours,2287,8,56,134,1,114.75,,,,,,,,,,,,,,,
203,51,twitchcon 2016,10,2016,829794,725 hours,125427,40,155,1116,0,1144.54,,,,,,,,,,,,,,,
206,100,dragon quest builders,10,2016,288913,18307 hours,14812,109,2414,388,24,15.78,,,,,,,,,,,,,,,
214,135,silent hill downpour,10,2016,213046,327 hours,11346,7,46,286,0,651.52,,,,,,,,,,,,,,,
218,148,dead space 3,10,2016,185704,2581 hours,9982,30,526,249,3,71.95,,,,,,,,,,,,,,,
219,150,paper mario color splash,10,2016,183224,6036 hours,2876,61,623,246,8,30.36,,,,,,,,,,,,,,,
222,161,silent hill,10,2016,170483,1298 hours,12977,11,269,229,1,131.34,,,,,,,,,,,,,,,
225,177,silent hill 3,10,2016,144668,1023 hours,14487,14,160,194,1,141.42,,,,,,,,,,,,,,,
226,181,lego the lord of the rings,10,2016,143126,197 hours,20249,5,41,192,0,726.53,,,,,,,,,,,,,,,
227,182,stone age,10,2016,139948,2599 hours,1168,13,77,188,3,53.85,,,,,,,,,,,,,,,
229,192,revelation,10,2016,132028,6990 hours,3285,176,855,177,9,18.89,,,,,,,,,,,,,,,
232,66,poku00e9mon omega rubyalpha sapphire,11,2016,638283,15254 hours,8896,71,1471,887,21,41.84,,,,,,,,,,,,,,,
235,93,casino games,11,2016,409814,6473 hours,3695,25,398,569,9,63.31,,,,,,,,,,,,,,,
242,166,i wanna be the guy,11,2016,129509,3608 hours,3691,18,224,180,5,35.89,,,,,,,,,,,,,,,
245,187,resident evil zero,11,2016,119522,1454 hours,6841,11,319,166,2,82.2,,,,,,,,,,,,,,,
247,190,animal crossing new leaf,11,2016,117314,1399 hours,13805,16,160,163,1,83.86,,,,,,,,,,,,,,,
249,198,destiny child,11,2016,109783,2089 hours,2457,11,142,152,2,52.55,,,,,,,,,,,,,,,
250,37,the last guardian,12,2016,1791220,15077 hours,55149,132,112,2410,20,118.8,,,,,,,,,,,,,,,
252,110,the game awards 2016,12,2016,367414,627 hours,154906,213,244,494,0,585.99,,,,,,,,,,,,,,,
258,147,the walking dead season two,12,2016,201775,5869 hours,18345,34,125,271,7,34.38,,,,,,,,,,,,,,,
260,160,star wars battlefront,12,2016,178369,32175 hours,6758,117,24,240,43,5.54,,,,,,,,,,,,,,,
261,166,karaoke,12,2016,165798,172 hours,16780,9,9,223,0,963.94,,,,,,,,,,,,,,,
262,169,fateextella the umbral star,12,2016,163414,1580 hours,6117,17,30,219,2,103.43,,,,,,,,,,,,,,,
264,175,rhythm tengoku the best plus,12,2016,155979,124 hours,12617,5,14,209,0,1257.9,,,,,,,,,,,,,,,
265,176,virtual reality,12,2016,155589,2189 hours,22043,15,88,209,2,71.08,,,,,,,,,,,,,,,
266,177,transport tycoon deluxe,12,2016,155576,683 hours,33740,7,21,209,0,227.78,,,,,,,,,,,,,,,
269,195,breakaway,12,2016,140684,2801 hours,7317,181,3,189,3,50.23,,,,,,,,,,,,,,,
271,81,final fantasy,1,2017,675710,1821 hours,164287,13,223,909,2,371.07,,,,,,,,,,,,,,,
273,104,metal gearid 2 sons of liberty,1,2017,486855,782 hours,177214,10,103,655,1,622.58,,,,,,,,,,,,,,,
275,110,the legend of zelda ocarina of time 3d,1,2017,443399,603 hours,209526,13,87,596,0,735.32,,,,,,,,,,,,,,,
276,112,star wars force arena,1,2017,434898,1413 hours,29759,12,237,585,1,307.78,,,,,,,,,,,,,,,
278,126,tetris with cardcaptor sakura eternal heart,1,2017,357195,41 hours,181376,10,20,480,0,8712.07,,,,,,,,,,,,,,,
279,130,halo 2,1,2017,349319,770 hours,189722,12,142,470,1,453.66,,,,,,,,,,,,,,,
281,134,kirbys dream land 3,1,2017,343155,80 hours,159503,15,42,461,0,4289.44,,,,,,,,,,,,,,,
284,149,devil may cry,1,2017,300716,222 hours,149625,7,57,404,0,1354.58,,,,,,,,,,,,,,,
285,150,sly cooper and the thievius raccoonus,1,2017,297707,448 hours,151385,13,77,400,0,664.52,,,,,,,,,,,,,,,
287,153,metroid prime 2 echoes,1,2017,297191,426 hours,152037,12,58,399,0,697.63,,,,,,,,,,,,,,,
288,155,silent hill 4 the room,1,2017,289431,295 hours,130761,8,53,389,0,981.12,,,,,,,,,,,,,,,
289,157,blaster master,1,2017,280728,74 hours,159616,11,27,377,0,3793.62,,,,,,,,,,,,,,,
290,161,fire emblem the blazing blade,1,2017,273290,743 hours,123437,16,149,367,1,367.82,,,,,,,,,,,,,,,
291,163,kirby super star,1,2017,269659,375 hours,157590,17,99,362,0,719.09,,,,,,,,,,,,,,,
293,169,sonic advance 2,1,2017,259550,65 hours,159885,11,24,349,0,3993.08,,,,,,,,,,,,,,,
294,172,shovel knight,1,2017,255376,2390 hours,191303,16,680,343,3,106.85,,,,,,,,,,,,,,,
295,174,mega man legends,1,2017,247070,193 hours,125626,11,39,332,0,1280.16,,,,,,,,,,,,,,,
296,175,the legend of korra,1,2017,246482,295 hours,155744,19,97,331,0,835.53,,,,,,,,,,,,,,,
297,179,trauma center new blood,1,2017,242274,55 hours,138690,17,28,326,0,4404.98,,,,,,,,,,,,,,,
298,184,super mario bros,1,2017,238260,1304 hours,212544,12,320,320,1,182.71,,,,,,,,,,,,,,,
299,188,castlevania rondo of blood,1,2017,233111,56 hours,157319,10,25,313,0,4162.7,,,,,,,,,,,,,,,
300,189,mega man network transmission,1,2017,231158,39 hours,170125,10,19,311,0,5927.13,,,,,,,,,,,,,,,
301,190,super castlevania 4,1,2017,230865,444 hours,158385,14,92,310,0,519.97,,,,,,,,,,,,,,,
302,197,crash bandicoot 2 cortex strikes back,1,2017,217916,766 hours,158305,19,198,293,1,284.49,,,,,,,,,,,,,,,
303,198,sparkster,1,2017,217692,19 hours,153550,10,12,292,0,11457.47,,,,,,,,,,,,,,,
304,199,rocket robot on wheels,1,2017,213639,46 hours,160445,9,15,287,0,4644.33,,,,,,,,,,,,,,,
306,96,imdb live viewing party,2,2017,443665,123 hours,104602,28,44,661,0,3607.03,,,,,,,,,,,,,,,
307,108,resident evil 5,2,2017,340567,5495 hours,24298,28,1753,507,8,61.98,,,,,,,,,,,,,,,
308,115,mega man,2,2017,288390,1806 hours,13940,18,412,429,2,159.68,,,,,,,,,,,,,,,
311,133,halo wars 2,2,2017,252880,19548 hours,7875,305,4058,376,29,12.94,,,,,,,,,,,,,,,
312,147,super robot taisen 5,2,2017,206921,4481 hours,10166,66,224,308,6,46.18,,,,,,,,,,,,,,,
314,164,fire emblem heroes,2,2017,186997,4737 hours,4195,47,812,278,7,39.48,,,,,,,,,,,,,,,
317,181,watch dogs 2,2,2017,166134,7862 hours,6064,30,4846,247,11,21.13,,,,,,,,,,,,,,,
319,189,digimon world next order,2,2017,153421,15450 hours,1587,104,1712,228,23,9.93,,,,,,,,,,,,,,,
321,195,the walking dead season one,2,2017,152326,4484 hours,10470,22,1129,227,6,33.97,,,,,,,,,,,,,,,
322,197,puzzle dragons,2,2017,149334,4302 hours,3403,20,349,222,6,34.71,,,,,,,,,,,,,,,
323,199,poku00e9mon redblue,2,2017,146092,3717 hours,1220,16,363,217,5,39.3,,,,,,,,,,,,,,,
324,11,power rangers battle for the grid,3,2017,8091268,8678 hours,71017,101,995,10889,11,932.39,,,,,,,,,,,,,,,
326,102,finding bigfoot,3,2017,324087,1553 hours,52902,14,512,436,2,208.68,,,,,,,,,,,,,,,
333,153,xcom enemy within,3,2017,181455,2162 hours,2469,11,149,244,2,83.93,,,,,,,,,,,,,,,
335,171,brawl of ages,3,2017,151756,470 hours,16441,8,60,204,0,322.89,,,,,,,,,,,,,,,
339,180,nhl 17,3,2017,144608,9290 hours,2621,50,2530,194,12,15.57,,,,,,,,,,,,,,,
340,182,power rangers samurai,3,2017,142037,176 hours,16736,6,50,191,0,807.03,,,,,,,,,,,,,,,
349,106,cosmos,4,2017,333310,423 hours,20325,25,79,463,0,787.97,,,,,,,,,,,,,,,
350,113,nba 2k16,4,2017,313366,14422 hours,4961,62,2775,435,20,21.73,,,,,,,,,,,,,,,
356,151,the king of fighters14,4,2017,185499,4479 hours,8417,30,624,257,6,41.42,,,,,,,,,,,,,,,
360,173,dragon ball z dokkan battle,4,2017,148771,3972 hours,6101,25,393,206,5,37.45,,,,,,,,,,,,,,,
363,199,parappa the rapper,4,2017,124096,373 hours,38532,8,175,172,0,332.7,,,,,,,,,,,,,,,
364,200,rpg maker,4,2017,123731,1223 hours,2891,11,192,172,1,101.17,,,,,,,,,,,,,,,
366,95,final fantasy xiv heavensward,5,2017,450588,34569 hours,6122,173,6501,606,46,13.03,,,,,,,,,,,,,,,
369,117,forza horizon 3,5,2017,312932,23571 hours,43679,214,6696,421,31,13.28,,,,,,,,,,,,,,,
370,120,nba playgrounds,5,2017,299213,6621 hours,39807,96,2684,402,8,45.19,,,,,,,,,,,,,,,
372,129,tekken 7 fated retribution,5,2017,259581,1205 hours,18111,8,72,349,1,215.42,,,,,,,,,,,,,,,
