,Rank,Game,Month,Year,Hours_watched,Hours_Streamed,Peak_viewers,Peak_channels,Streamers,Avg_viewers,Avg_channels,Avg_viewer_ratio,appid,name,release_date,english,developer,publisher,platforms,required_age,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
1368,192,call of duty black ops 4,1,2021,583699,107151 hours,51225,263,8204,785,144,5.45,,,,,,,,,,,,,,,
1369,193,mount blade ii bannerlord,1,2021,582576,18957 hours,24455,54,1909,784,25,30.73,,,,,,,,,,,,,,,
1370,195,star wars jedi fallen order,1,2021,577685,51107 hours,98543,143,12200,777,68,11.3,,,,,,,,,,,,,,,
1371,196,blackjack,1,2021,577065,3940 hours,21362,18,605,776,5,146.46,,,,,,,,,,,,,,,
1372,198,jump king,1,2021,567431,8095 hours,22997,24,1692,763,10,70.1,,,,,,,,,,,,,,,
1374,83,guilty gear strive,2,2021,2111522,25807 hours,38819,793,3810,3146,38,81.82,,,,,,,,,,,,,,,
1375,87,super seducer 3,2,2021,1918945,888 hours,92539,11,206,2859,1,2160.97,,,,,,,,,,,,,,,
1376,97,nioh 2,2,2021,1681122,63816 hours,21018,329,4777,2505,95,26.34,,,,,,,,,,,,,,,
1377,121,hitman 3,2,2021,1229151,41294 hours,29820,225,6496,1831,61,29.77,,,,,,,,,,,,,,,
1379,138,super mario 3d world,2,2021,1040698,25884 hours,22392,327,4925,1550,38,40.21,,,,,,,,,,,,,,,
1380,142,star wars battlefront 2,2,2021,1012025,105369 hours,9949,398,28088,1508,157,9.6,,,,,,,,,,,,,,,
1381,144,skribblio,2,2021,995394,26376 hours,103072,160,12696,1483,39,37.74,,,,,,,,,,,,,,,
1383,149,dyson sphere program,2,2021,979492,44594 hours,11842,171,3376,1459,66,21.96,,,,,,,,,,,,,,,
1385,157,cookie run kingdom,2,2021,897874,11023 hours,24030,52,1739,1338,16,81.45,,,,,,,,,,,,,,,
1386,160,the medium,2,2021,880541,65325 hours,61807,627,13002,1312,97,13.48,,,,,,,,,,,,,,,
1387,162,destruction allstars,2,2021,844773,9825 hours,32573,209,6343,1258,14,85.98,,,,,,,,,,,,,,,
1388,164,mad games tycoon 2,2,2021,823687,2441 hours,27159,23,361,1227,3,337.44,,,,,,,,,,,,,,,
1390,172,the legend of zelda majoras mask,2,2021,774681,13946 hours,22579,56,1377,1154,20,55.55,,,,,,,,,,,,,,,
1391,177,poku00e9mon fireredleafgreen,2,2021,741001,28208 hours,5383,109,3866,1104,42,26.27,,,,,,,,,,,,,,,
1392,178,stream raiders,2,2021,739511,35432 hours,7677,136,1552,1102,52,20.87,,,,,,,,,,,,,,,
1396,191,assassins creed valhalla,2,2021,636057,145268 hours,8635,435,14486,947,216,4.38,,,,,,,,,,,,,,,
1398,195,the binding of isaac afterbirth,2,2021,621511,33168 hours,16941,103,5256,926,49,18.74,,,,,,,,,,,,,,,
1400,199,skul the hero slayer,2,2021,613499,30246 hours,15343,166,4754,914,45,20.28,,,,,,,,,,,,,,,
1401,45,loop hero,3,2021,6219389,96115 hours,62410,483,12397,8370,129,64.71,,,,,,,,,,,,,,,
1402,84,diablo 2,3,2021,2489718,67300 hours,26418,353,3466,3350,90,36.99,,,,,,,,,,,,,,,
1403,95,duplicate sleepers,3,2021,2148016,2782 hours,62500,38,264,2891,3,772.11,,,,,,,,,,,,,,,
1404,100,suspects mystery mansion,3,2021,1956135,3486 hours,62685,32,691,2632,4,561.14,,,,,,,,,,,,,,,
1405,103,teamfight manager,3,2021,1934496,11954 hours,61407,125,1658,2603,16,161.83,,,,,,,,,,,,,,,
1407,113,magic legends,3,2021,1689148,34823 hours,92059,1149,7243,2273,46,48.51,,,,,,,,,,,,,,,
1409,119,the movies,3,2021,1628665,37586 hours,49930,108,2121,2192,50,43.33,,,,,,,,,,,,,,,
1411,124,doom eternal,3,2021,1548785,77391 hours,31258,644,11917,2084,104,20.01,,,,,,,,,,,,,,,
1412,130,yakuza like a dragon,3,2021,1458903,29970 hours,36820,80,2139,1963,40,48.68,,,,,,,,,,,,,,,
1414,136,demons souls,3,2021,1375835,55098 hours,23420,163,6379,1851,74,24.97,,,,,,,,,,,,,,,
1418,151,super mario 3d world bowsers fury,3,2021,1132715,40261 hours,33143,220,7280,1524,54,28.13,,,,,,,,,,,,,,,
1419,153,spelunky 2,3,2021,1122100,16069 hours,8340,48,1659,1510,21,69.83,,,,,,,,,,,,,,,
1421,158,betrayalio,3,2021,1101205,5226 hours,136474,76,2459,1482,7,210.72,,,,,,,,,,,,,,,
1422,161,super mario odyssey,3,2021,1083832,21114 hours,62915,105,2519,1458,28,51.33,,,,,,,,,,,,,,,
1423,167,ranch simulator,3,2021,1025525,13182 hours,49322,138,2415,1380,17,77.8,,,,,,,,,,,,,,,
1424,169,nioh 2,3,2021,1019923,50323 hours,14476,127,3482,1372,67,20.27,,,,,,,,,,,,,,,
1425,171,curse of the dead gods,3,2021,1001366,18244 hours,21243,93,2630,1347,24,54.89,,,,,,,,,,,,,,,
1427,178,royal crown,3,2021,924138,12254 hours,25593,56,965,1243,16,75.42,,,,,,,,,,,,,,,
1429,181,hearts of iron 4,3,2021,903931,18433 hours,15509,77,1917,1216,24,49.04,,,,,,,,,,,,,,,
1430,183,rhythm doctor,3,2021,877177,8941 hours,25107,79,2906,1180,12,98.11,,,,,,,,,,,,,,,
1431,187,ghosts n goblins resurrection,3,2021,826360,5950 hours,11473,28,692,1112,8,138.88,,,,,,,,,,,,,,,
1432,188,persona 5 strikers,3,2021,825510,67831 hours,14734,319,5713,1111,91,12.17,,,,,,,,,,,,,,,
1435,195,stocks and bonds,3,2021,799894,16734 hours,6748,80,451,1076,22,47.8,,,,,,,,,,,,,,,
1437,199,the legend of zelda ocarina of time,3,2021,776888,44938 hours,7995,155,3882,1045,60,17.29,,,,,,,,,,,,,,,
1438,1,just chatting,4,2021,289547911,3544601 hours,937749,8026,474257,402709,4929,81.69,,,,,,,,,,,,,,,
1440,3,league of legends,4,2021,156994170,3592720 hours,906631,8333,260952,218350,4996,43.7,,,,,,,,,,,,,,,
1441,4,call of duty warzone,4,2021,100571607,3596411 hours,1629284,22437,218805,139877,5001,27.96,,,,,,,,,,,,,,,
1442,5,fortnite,4,2021,94112337,5810309 hours,498791,17790,588089,130893,8081,16.2,,,,,,,,,,,,,,,
1443,6,valorant,4,2021,85635830,3435109 hours,440084,8565,306540,119104,4777,24.93,,,,,,,,,,,,,,,
1444,7,minecraft,4,2021,79728626,3112654 hours,749947,8863,405918,110888,4329,25.61,,,,,,,,,,,,,,,
1446,9,apex legends,4,2021,51425055,3688671 hours,171721,8110,297846,71523,5130,13.94,,,,,,,,,,,,,,,
1448,11,fifa 21,4,2021,31997488,857058 hours,270504,4078,99006,44502,1192,37.33,,,,,,,,,,,,,,,
1449,12,world of warcraft,4,2021,28935795,1174589 hours,155795,4942,61988,40244,1633,24.63,,,,,,,,,,,,,,,
1452,15,music,4,2021,24139407,1008771 hours,91269,2807,58338,33573,1403,23.93,,,,,,,,,,,,,,,
1453,16,hearthstone,4,2021,23090076,205813 hours,81936,544,16526,32114,286,112.19,,,,,,,,,,,,,,,
1454,17,slots,4,2021,21953615,120067 hours,181881,277,5177,30533,166,182.84,,,,,,,,,,,,,,,
1456,19,escape from tarkov,4,2021,20719917,825726 hours,159513,1942,39253,28817,1148,25.09,,,,,,,,,,,,,,,
1460,23,the binding of isaac repentance,4,2021,16426825,204533 hours,70537,639,21305,22846,284,80.31,,,,,,,,,,,,,,,
1461,24,teamfight tactics,4,2021,15006825,308819 hours,106508,1703,36550,20871,429,48.59,,,,,,,,,,,,,,,
1462,25,outriders,4,2021,14269489,892952 hours,178993,6539,68168,19846,1241,15.98,,,,,,,,,,,,,,,
1463,26,it takes two,4,2021,13667970,289118 hours,227571,1072,41757,19009,402,47.27,,,,,,,,,,,,,,,
1465,28,garena free fire,4,2021,12780318,341718 hours,137321,1005,29999,17775,475,37.4,,,,,,,,,,,,,,,
1467,30,overwatch,4,2021,12239978,803047 hours,71596,2220,84414,17023,1116,15.24,,,,,,,,,,,,,,,
1469,32,sports,4,2021,10905975,87708 hours,204973,417,11327,15168,121,124.34,,,,,,,,,,,,,,,
1470,33,art,4,2021,10387215,648055 hours,50245,1435,63925,14446,901,16.03,,,,,,,,,,,,,,,
1471,34,sea of thieves,4,2021,10301651,449242 hours,141852,1578,45956,14327,624,22.93,,,,,,,,,,,,,,,
1472,35,genshin impact,4,2021,9536061,499932 hours,85750,2602,53069,13262,695,19.07,,,,,,,,,,,,,,,
1473,36,enlisted,4,2021,9397942,162294 hours,477606,1221,26446,13070,225,57.91,,,,,,,,,,,,,,,
1474,37,poker,4,2021,8819940,93009 hours,59393,360,5024,12266,129,94.83,,,,,,,,,,,,,,,
1475,38,lost ark,4,2021,8221297,124392 hours,75582,513,4774,11434,173,66.09,,,,,,,,,,,,,,,
1476,39,asmr,4,2021,8153098,107913 hours,27014,211,5323,11339,150,75.55,,,,,,,,,,,,,,,
1477,40,monster hunter rise,4,2021,7567644,430358 hours,53394,1736,27321,10525,598,17.58,,,,,,,,,,,,,,,
1478,41,talk shows podcasts,4,2021,7560003,197650 hours,97527,703,18751,10514,274,38.25,,,,,,,,,,,,,,,
1479,42,call of duty black ops cold war,4,2021,6963112,1043351 hours,66989,4060,121427,9684,1451,6.67,,,,,,,,,,,,,,,
1480,43,destiny 2,4,2021,6615780,551326 hours,33739,1734,41859,9201,766,12.0,,,,,,,,,,,,,,,
1481,44,nba 2k21,4,2021,6326716,623787 hours,48763,1944,61785,8799,867,10.14,,,,,,,,,,,,,,,
1483,46,magic the gathering,4,2021,5816455,109662 hours,40792,488,9254,8089,152,53.04,,,,,,,,,,,,,,,
1484,47,diablo ii resurrected,4,2021,5306890,11109 hours,403137,203,1775,7380,15,477.71,,,,,,,,,,,,,,,
1485,48,world of tanks,4,2021,5271236,160272 hours,33934,519,9720,7331,222,32.89,,,,,,,,,,,,,,,
1487,50,league of legends wild rift,4,2021,4646016,175409 hours,53444,685,15629,6461,243,26.49,,,,,,,,,,,,,,,
1489,52,old school runescape,4,2021,4429010,124172 hours,16226,272,6620,6159,172,35.67,,,,,,,,,,,,,,,
1490,53,diablo 3,4,2021,4331609,179334 hours,50930,1605,15191,6024,249,24.15,,,,,,,,,,,,,,,
1491,54,fall guys ultimate knockout,4,2021,4202706,220895 hours,118811,702,49275,5845,307,19.03,,,,,,,,,,,,,,,
1493,56,travel outdoors,4,2021,3937995,96010 hours,121461,187,4229,5477,133,41.02,,,,,,,,,,,,,,,
1494,57,retro,4,2021,3913550,170587 hours,13775,376,11446,5443,237,22.94,,,,,,,,,,,,,,,
1496,59,gartic phone,4,2021,3897616,85087 hours,78397,449,32600,5420,118,45.81,,,,,,,,,,,,,,,
1497,60,poku00e9mon swordshield,4,2021,3885515,148127 hours,37644,367,12341,5404,206,26.23,,,,,,,,,,,,,,,
1498,61,dungeons dragons,4,2021,3779877,97477 hours,87295,493,9407,5257,135,38.78,,,,,,,,,,,,,,,
1499,62,valheim,4,2021,3725719,336813 hours,31020,1133,31305,5181,468,11.06,,,,,,,,,,,,,,,
1500,63,phasmophobia,4,2021,3722731,348415 hours,112098,1213,68338,5177,484,10.68,,,,,,,,,,,,,,,
1501,64,nier replicant ver122474487139,4,2021,3699112,150605 hours,64809,2260,13516,5144,209,24.56,,,,,,,,,,,,,,,
1503,66,age of empires 2,4,2021,3618472,56230 hours,52743,171,4924,5032,78,64.35,,,,,,,,,,,,,,,
1504,67,science technology,4,2021,3600996,205700 hours,140493,450,10183,5008,286,17.51,,,,,,,,,,,,,,,
1506,69,tibia,4,2021,3434432,176694 hours,9733,461,6386,4776,245,19.44,,,,,,,,,,,,,,,
1508,71,starcraft 2,4,2021,3296403,60954 hours,16518,136,4671,4584,84,54.08,,,,,,,,,,,,,,,
1509,72,food drink,4,2021,3235760,45020 hours,110854,135,8232,4500,62,71.87,,,,,,,,,,,,,,,
1510,73,mario kart 8,4,2021,3075327,52223 hours,102474,271,9756,4277,72,58.89,,,,,,,,,,,,,,,
1512,75,mlb the show 21,4,2021,2972650,135263 hours,40946,2008,15078,4134,188,21.98,,,,,,,,,,,,,,,
1513,76,returnal,4,2021,2929388,21770 hours,173372,1469,4446,4074,30,134.56,,,,,,,,,,,,,,,
1514,77,roblox,4,2021,2923823,366646 hours,216339,1009,61361,4066,509,7.97,,,,,,,,,,,,,,,
1515,78,heroes of might and magic iii the restoration of erathia,4,2021,2890400,21032 hours,16431,70,771,4020,29,137.43,,,,,,,,,,,,,,,
1516,79,clash royale,4,2021,2813950,38066 hours,56309,98,5036,3913,52,73.92,,,,,,,,,,,,,,,
1517,80,animal crossing new horizons,4,2021,2770857,111565 hours,34398,289,13040,3853,155,24.84,,,,,,,,,,,,,,,
1518,81,special events,4,2021,2758827,30260 hours,130845,483,4348,3837,42,91.17,,,,,,,,,,,,,,,
1519,82,super smash bros ultimate,4,2021,2755980,137380 hours,57438,460,14923,3833,191,20.06,,,,,,,,,,,,,,,
1520,83,geoguessr,4,2021,2575691,50303 hours,69073,167,11322,3582,69,51.2,,,,,,,,,,,,,,,
1522,85,eternal return black survival,4,2021,2528836,81912 hours,31888,262,6563,3517,113,30.87,,,,,,,,,,,,,,,
1523,86,starcraft,4,2021,2461132,16130 hours,67408,59,1166,3422,22,152.58,,,,,,,,,,,,,,,
1524,87,games demos,4,2021,2406775,278114 hours,34185,2613,46876,3347,386,8.65,,,,,,,,,,,,,,,
1525,88,osu,4,2021,2398217,241119 hours,22655,576,41605,3335,335,9.95,,,,,,,,,,,,,,,
1527,90,first class trouble,4,2021,2357336,17066 hours,91515,105,3197,3278,23,138.13,,,,,,,,,,,,,,,
1529,92,resident evil 7 biohazard,4,2021,2295571,119277 hours,39747,463,20391,3192,165,19.25,,,,,,,,,,,,,,,
1530,93,altf4,4,2021,2256336,16068 hours,77201,72,5819,3138,22,140.42,,,,,,,,,,,,,,,
1531,94,the legend of zelda breath of the wild,4,2021,2223515,79537 hours,40813,195,7756,3092,110,27.96,,,,,,,,,,,,,,,
1532,95,super mario maker 2,4,2021,2211171,36212 hours,24042,100,3117,3075,50,61.06,,,,,,,,,,,,,,,
1534,97,home sweet home survive,4,2021,2061460,44394 hours,35316,169,5170,2867,61,46.44,,,,,,,,,,,,,,,
1536,99,marbles on stream,4,2021,2054793,64225 hours,40466,189,13391,2857,89,31.99,,,,,,,,,,,,,,,
1537,100,tabletop rpgs,4,2021,1998175,25536 hours,85377,133,2534,2779,35,78.25,,,,,,,,,,,,,,,
1538,101,mario kart 8 deluxe,4,2021,1997059,27040 hours,141392,154,6688,2777,37,73.86,,,,,,,,,,,,,,,
1539,102,scavengers,4,2021,1986105,35707 hours,118346,935,8574,2762,49,55.62,,,,,,,,,,,,,,,
1540,103,poku00e9mon trading card game,4,2021,1944334,60483 hours,65024,231,7151,2704,84,32.15,,,,,,,,,,,,,,,
1542,105,heroes of the storm,4,2021,1922919,71715 hours,7523,184,5338,2674,99,26.81,,,,,,,,,,,,,,,
1543,106,pubg mobile,4,2021,1866087,114652 hours,36052,303,8432,2595,159,16.28,,,,,,,,,,,,,,,
1544,107,the sims 4,4,2021,1852675,107842 hours,16238,284,17260,2576,149,17.18,,,,,,,,,,,,,,,
1545,108,f1 2020,4,2021,1847152,141336 hours,35727,1178,19617,2569,196,13.07,,,,,,,,,,,,,,,
1546,109,crypto,4,2021,1837432,55738 hours,9814,123,1059,2555,77,32.97,,,,,,,,,,,,,,,
1547,110,chivalry 2,4,2021,1820426,12057 hours,62554,241,2622,2531,16,150.98,,,,,,,,,,,,,,,
1548,111,satisfactory,4,2021,1799886,88912 hours,68029,341,7601,2503,123,20.24,,,,,,,,,,,,,,,
1549,112,super mario 64,4,2021,1781951,42381 hours,59477,130,4754,2478,58,42.05,,,,,,,,,,,,,,,
1555,118,knockout city,4,2021,1631512,28985 hours,304163,804,8785,2269,40,56.29,,,,,,,,,,,,,,,
1558,121,mortal kombat 11,4,2021,1598509,74444 hours,122129,244,11741,2223,103,21.47,,,,,,,,,,,,,,,
1559,122,runescape,4,2021,1596587,49347 hours,10180,126,3073,2220,68,32.35,,,,,,,,,,,,,,,
1560,123,legends of runeterra,4,2021,1557225,34372 hours,26291,131,3400,2165,47,45.31,,,,,,,,,,,,,,,
1561,124,krunker,4,2021,1554454,42279 hours,10114,129,6368,2161,58,36.77,,,,,,,,,,,,,,,
1563,126,super smash bros melee,4,2021,1514575,27944 hours,53332,105,2927,2106,38,54.2,,,,,,,,,,,,,,,
1564,127,brawl stars,4,2021,1488732,121844 hours,47663,319,17013,2070,169,12.22,,,,,,,,,,,,,,,
1565,128,halo the master chief collection,4,2021,1485825,127741 hours,96356,472,15844,2066,177,11.63,,,,,,,,,,,,,,,
1566,129,warcraft 3,4,2021,1483437,33617 hours,34353,86,1941,2063,46,44.13,,,,,,,,,,,,,,,
1567,130,madden nfl 21,4,2021,1436393,179615 hours,30670,684,21282,1997,249,8.0,,,,,,,,,,,,,,,
1569,132,war by grow games,4,2021,1384452,1863 hours,60101,38,502,1925,2,743.13,,,,,,,,,,,,,,,
1570,133,anime land,4,2021,1373900,7320 hours,14758,26,629,1910,10,187.69,,,,,,,,,,,,,,,
1571,134,raid shadow legends,4,2021,1318665,23644 hours,20214,66,1758,1834,32,55.77,,,,,,,,,,,,,,,
1572,135,football manager 2021,4,2021,1298725,37517 hours,16353,143,2801,1806,52,34.62,,,,,,,,,,,,,,,
1575,138,trackmania,4,2021,1287807,19801 hours,22573,98,2628,1791,27,65.04,,,,,,,,,,,,,,,
1576,139,little nightmares 2,4,2021,1284290,43150 hours,103021,159,9605,1786,60,29.76,,,,,,,,,,,,,,,
1579,142,red dead redemption 2,4,2021,1270179,206854 hours,6814,510,19964,1766,287,6.14,,,,,,,,,,,,,,,
1580,143,lineage 2m,4,2021,1253833,5065 hours,20680,21,186,1743,7,247.55,,,,,,,,,,,,,,,
1581,144,forza horizon 4,4,2021,1243281,105621 hours,32793,313,17417,1729,146,11.77,,,,,,,,,,,,,,,
1583,146,devour,4,2021,1221180,38331 hours,108766,367,13959,1698,53,31.86,,,,,,,,,,,,,,,
1584,147,makers crafting,4,2021,1183823,83543 hours,10417,199,7344,1646,116,14.17,,,,,,,,,,,,,,,
1587,150,jackbox party packs,4,2021,1149485,55011 hours,159312,315,14224,1598,76,20.9,,,,,,,,,,,,,,,
1588,151,call of duty mobile,4,2021,1143233,200201 hours,21185,508,20149,1590,278,5.71,,,,,,,,,,,,,,,
1590,153,summoners war sky arena,4,2021,1124852,25508 hours,16128,110,1676,1564,35,44.1,,,,,,,,,,,,,,,
1591,154,new poku00e9mon snap,4,2021,1123274,22247 hours,112450,1931,6843,1562,30,50.49,,,,,,,,,,,,,,,
1592,155,bloodborne,4,2021,1114162,67853 hours,10763,187,7500,1549,94,16.42,,,,,,,,,,,,,,,
1593,156,fitness health,4,2021,1098589,21863 hours,105422,86,2464,1527,30,50.25,,,,,,,,,,,,,,,
1596,159,poku00e9mon go,4,2021,1077211,30812 hours,7654,197,2508,1498,42,34.96,,,,,,,,,,,,,,,
1599,162,detroit become human,4,2021,1063297,28204 hours,65115,105,5261,1478,39,37.7,,,,,,,,,,,,,,,
1600,163,umamusume pretty derby,4,2021,1053948,17997 hours,7823,83,1615,1465,25,58.56,,,,,,,,,,,,,,,
1601,164,resident evil,4,2021,1048811,28834 hours,15827,112,4250,1458,40,36.37,,,,,,,,,,,,,,,
1602,165,super mario world,4,2021,1044912,24558 hours,7734,74,2439,1453,34,42.55,,,,,,,,,,,,,,,
1604,167,evil genius 2 world domination,4,2021,1007472,24261 hours,20750,181,2551,1401,33,41.53,,,,,,,,,,,,,,,
1605,168,watch parties,4,2021,1006866,17967 hours,31307,69,5249,1400,24,56.04,,,,,,,,,,,,,,,
1609,172,gears 5,4,2021,970892,69845 hours,13246,243,7149,1350,97,13.9,,,,,,,,,,,,,,,
1611,174,virtual casino,4,2021,925929,9448 hours,122589,33,870,1287,13,98.0,,,,,,,,,,,,,,,
1613,176,cyberpunk 2077,4,2021,916993,87070 hours,31013,260,10261,1275,121,10.53,,,,,,,,,,,,,,,
1614,177,summoners war lost centuria,4,2021,907369,3298 hours,95637,97,583,1261,4,275.13,,,,,,,,,,,,,,,
1618,181,star citizen,4,2021,877736,40912 hours,5295,161,2598,1220,56,21.45,,,,,,,,,,,,,,,
1620,183,gwent the witcher card game,4,2021,866691,14150 hours,12886,43,988,1205,19,61.25,,,,,,,,,,,,,,,
1622,185,rogue company,4,2021,857681,158104 hours,3774,448,19530,1192,219,5.42,,,,,,,,,,,,,,,
1624,187,super mario party,4,2021,851354,4186 hours,92024,131,1534,1184,5,203.38,,,,,,,,,,,,,,,
1625,188,lineage 2,4,2021,850897,68633 hours,3855,259,1958,1183,95,12.4,,,,,,,,,,,,,,,
1626,189,naraka bladepoint,4,2021,848361,22137 hours,44436,477,4802,1179,30,38.32,,,,,,,,,,,,,,,
1628,191,friday night funkin,4,2021,834656,59951 hours,96028,234,19987,1160,83,13.92,,,,,,,,,,,,,,,
1629,192,tom clancys the division 2,4,2021,832190,58914 hours,38585,163,6415,1157,81,14.13,,,,,,,,,,,,,,,
1630,193,god of war,4,2021,817609,60880 hours,20767,161,6858,1137,84,13.43,,,,,,,,,,,,,,,
1631,194,clash of clans,4,2021,800398,24070 hours,51910,76,2862,1113,33,33.25,,,,,,,,,,,,,,,
1634,197,hades,4,2021,794472,52755 hours,36447,152,8663,1104,73,15.06,,,,,,,,,,,,,,,
1635,198,epic seven,4,2021,778750,18362 hours,11670,47,997,1083,25,42.41,,,,,,,,,,,,,,,
1636,199,poku00e9mon platinum,4,2021,777305,22380 hours,61580,76,2837,1081,31,34.73,,,,,,,,,,,,,,,
